Etablissement,Année,Ville,Académie,Secteur Public/Prive,Taux Brut de Réussite série L,Taux Brut de Réussite série ES,Taux Brut de Réussite série S,Taux Réussite Attendu France série L,Taux Réussite Attendu France série ES,Taux Réussite Attendu France série S
LYCEE LA FAYETTE,2017,BRIOUDE,CLERMONT-FERRAND,PU,85,86,93,95,92,94
LYCEE SAINT JOSEPH,2018,FONTAINE LES VERVINS,AMIENS,PR,,100,94,,95,96
LYCEE LA PROVIDENCE,2018,LAON,AMIENS,PR,100,94,90,,95,98
LYCEE STE TRINITE,2012,MARSEILLE 09,AIX-MARSEILLE,PR,83,86,85,83,76,97
LYCEE JULES UHRY,2018,CREIL,AMIENS,PU,83,69,75,86,74,75
LYCEE YAVNE,2012,MARSEILLE 13,AIX-MARSEILLE,PR,,95,100,,95,95
LYCEE ANTOINE DE ST EXUPERY (GENERAL ET TECHNO.),2018,TERRASSON,BORDEAUX,PU,97,87,88,94,91,91
LYCEE DES GRAVES,2018,GRADIGNAN,BORDEAUX,PU,92,88,95,96,96,97
LYCEE ALEXANDRA DAVID NEEL,2012,DIGNE LES BAINS,AIX-MARSEILLE,PU,90,93,88,88,94,91
LYCEE ANDRE HONNORAT (GENERAL ET TECHNO.),2012,BARCELONNETTE,AIX-MARSEILLE,PU,90,81,91,92,91,93
LYCEE FRANCOIS D'ESTAING,2012,RODEZ CEDEX,TOULOUSE,PR,100,98,98,93,95,95
LYCEE BOSSUET,2012,CONDOM,TOULOUSE,PU,96,95,91,91,95,96
LYCEE ST JOSEPH,2018,OLORON STE MARIE,BORDEAUX,PR,100,100,100,,88,83
LYCEE PIERRE D'ARAGON,2012,MURET CEDEX,TOULOUSE,PU,92,90,94,89,93,94
LYCEE DES ARENES,2012,TOULOUSE CEDEX,TOULOUSE,PU,91,84,88,96,87,93
LYCEE JULES MICHELET,2012,MONTAUBAN CEDEX,TOULOUSE,PU,89,84,92,93,88,93
LYCEE SAINT GABRIEL,2012,BAGNEUX,VERSAILLES,PR,,89,100,,69,71
LYCEE LA FAYETTE,2018,BRIOUDE,CLERMONT-FERRAND,PU,92,89,94,95,95,95
LYCEE LAKANAL,2012,SCEAUX CEDEX,VERSAILLES,PU,100,98,98,97,98,98
LYCEE SIMONE DE BEAUVOIR,2012,GARGES LES GONESSE CEDEX,VERSAILLES,PU,94,81,70,71,75,73
LYCEE NOTRE-DAME DE BURY,2012,MARGENCY,VERSAILLES,PR,100,100,98,97,98,98
LYCEE JEAN-JACQUES ROUSSEAU (GENERAL ET TECHNO.),2012,SARCELLES,VERSAILLES,PU,56,75,68,70,71,66
LYCEE ALAIN,2012,LE VESINET,VERSAILLES,PU,84,92,93,91,96,97
LYCEE MANSART,2012,ST CYR L ECOLE,VERSAILLES,PU,87,86,95,93,94,93
LYCEE ILE DE FRANCE,2015,VILLEBON SUR YVETTE,VERSAILLES,PR,100,100,88,,96,94
LYCEE LOUIS ARMAND (GENERAL ET TECHNO.),2015,EAUBONNE,VERSAILLES,PU,79,78,90,91,91,92
LYCEE TORAT EMET,2015,SARCELLES,VERSAILLES,PR,,100,95,,91,90
LYCEE MARSEILLEVEYRE,2013,MARSEILLE 08,AIX-MARSEILLE,PU,85,93,89,93,95,94
LYCEE MELIZAN,2013,MARSEILLE 11,AIX-MARSEILLE,PR,100,100,98,95,96,93
LYCEE ST EXUPERY,2015,MANTES LA JOLIE,VERSAILLES,PU,84,86,85,90,89,85
LYCEE SONIA DELAUNAY (GENERAL ET TECHNO.),2015,VILLEPREUX,VERSAILLES,PU,91,99,94,94,95,94
LYCEE BELSUNCE,2016,MARSEILLE 02,AIX-MARSEILLE,PR,,100,,,,
LYCEE ST CHARLES CAMAS,2016,MARSEILLE 05,AIX-MARSEILLE,PR,100,100,100,,92,88
LYCEE VICTOR HUGO,2013,CARPENTRAS,AIX-MARSEILLE,PU,90,80,93,90,92,94
LYCEE FRANCOIS TRUFFAUT,2013,BEAUVAIS,AMIENS,PU,92,83,80,88,92,88
LYCEE SACRE COEUR,2013,AMIENS,AMIENS,PR,87,92,91,94,89,91
LYCEE MONT BLANC RENE DAYVE (GENERAL ET TECHNO.),2016,PASSY,GRENOBLE,PU,94,89,98,94,93,92
LYCEE SAINT FRANCOIS,2016,VILLE LA GRAND,GRENOBLE,PR,100,98,98,97,97,97
LYCEE NOTRE DAME,2016,CHARLIEU,LYON,PR,100,100,100,,93,95
LYCEE JEAN CONDORCET,2013,BORDEAUX,BORDEAUX,PU,92,81,84,91,82,87
LYCEE GEORGES BRASSENS (GENERAL ET TECHNO.),2016,RIVE DE GIER,LYON,PU,100,98,99,95,93,96
LYCEE CLAUDE FAURIEL,2016,ST ETIENNE,LYON,PU,100,93,94,93,92,92
LYCEE LARGENTE,2013,BAYONNE,BORDEAUX,PR,,96,98,,93,94
LYCEE JEAN ROSTAND,2013,CAEN,CAEN,PU,93,75,87,90,89,91
LYCEE BETH HANNA,2016,VILLEURBANNE,LYON,PR,,83,,,,
LYCEE CHARLES FRANCOIS LEBRUN,2013,COUTANCES,CAEN,PU,87,93,90,91,96,95
LYCEE PIERRE ET MARIE CURIE,2013,ST LO,CAEN,PU,,,93,,,95
LYCEE INTERNATIONAL CHARLES DE GAULL,2016,DIJON,DIJON,PU,97,98,94,97,98,98
LYCEE PONTUS DE TYARD,2016,CHALON SUR SAONE,DIJON,PU,100,94,100,98,98,98
LYCEE HENRI PARRIAT,2016,MONTCEAU LES MINES,DIJON,PU,95,93,96,93,95,94
LYCEE CAMILLE CLAUDEL,2016,TROYES,REIMS,PU,100,96,92,96,95,92
LYCEE SAINTE CROIX,2013,PROVINS,CRETEIL,PR,100,92,100,96,97,96
LYCEE HENRI WALLON,2013,AUBERVILLIERS,CRETEIL,PU,82,87,73,75,73,62
LYCEE ERCKMANN CHATRIAN,2016,PHALSBOURG,NANCY-METZ,PU,100,93,94,,95,93
LYCEE JEAN DE PANGE,2016,SARREGUEMINES,NANCY-METZ,PU,89,96,97,93,93,94
LYCEE SAINTE CHRETIENNE,2016,SARREGUEMINES,NANCY-METZ,PR,100,94,94,86,91,86
LYCEE DARIUS MILHAUD (GENERAL ET TECHNO.),2013,LE KREMLIN BICETRE,CRETEIL,PU,85,94,82,90,92,81
COLLEGE EPISCOPAL,2016,ZILLISHEIM,STRASBOURG,PR,100,97,98,98,97,98
LYCEE BEAUPEYRAT,2016,LIMOGES,LIMOGES,PR,100,,96,,,93
LYCEE GAY LUSSAC,2016,LIMOGES,LIMOGES,PU,96,91,88,95,92,93
LYCEE ST JEAN,2016,LIMOGES,LIMOGES,PR,100,93,99,95,90,96
LYCEE BERNARD PALISSY,2016,ST LEONARD DE NOBLAT,LIMOGES,PU,96,77,100,88,86,93
LYCEE CHARLES BAUDELAIRE,2013,ANNECY,GRENOBLE,PU,90,94,95,96,96,97
LYCEE SAINT MICHEL,2013,ANNECY,GRENOBLE,PR,95,100,100,94,98,98
LYCEE BOSSUET-NOTRE-DAME,2016,PARIS 10,PARIS,PR,100,100,100,98,99,98
LYCEE NOTRE-DAME DES OISEAUX,2016,PARIS 16,PARIS,PR,83,90,98,97,96,98
LYCEE GUY GASNIER-SAINTE BATHILDE,2016,CHELLES,CRETEIL,PR,100,100,98,,97,96
LYCEE DE LA MARE CARREE (GENERAL ET TECHNO.),2016,MOISSY CRAMAYEL,CRETEIL,PU,94,95,97,92,93,92
LYCEE LA MARTINIERE DIDEROT,2012,LYON CEDEX 0 01,LYON,PU,,,94,,,90
LYCEE EVARISTE GALOIS,2016,SARTROUVILLE,VERSAILLES,PU,90,95,90,93,92,91
LYCEE SONIA DELAUNAY (GENERAL ET TECHNO.),2016,VILLEPREUX,VERSAILLES,PU,100,96,94,93,94,93
LYCEE JEAN-BAPTISTE DUMAS (GENERAL ET TECHNO.),2012,ALES CEDEX,MONTPELLIER,PU,88,83,89,87,88,92
LYCEE HENRI POINCARE (GENERAL ET TECHNO.),2016,PALAISEAU,VERSAILLES,PU,,87,76,,86,89
LYCEE SAINT GABRIEL,2016,BAGNEUX,VERSAILLES,PR,,100,89,,92,82
LYCEE LOUIS PASTEUR,2016,NEUILLY SUR SEINE,VERSAILLES,PU,100,97,98,95,97,98
LYCEE JEAN MOULIN,2012,PEZENAS,MONTPELLIER,PU,95,90,86,89,88,92
LYCEE LOUIS DE CORMONTAIGNE (GENERAL ET TECHNO.),2012,METZ CEDEX,NANCY-METZ,PU,76,90,84,89,88,88
LYCEE JEAN PERRIN (GENERAL ET TECHNO.),2018,MARSEILLE 10,AIX-MARSEILLE,PU,,75,88,,80,85
LYCEE NOTRE DAME,2012,LA FLECHE,NANTES,PR,100,92,95,93,77,95
LYCEE DHUODA,2018,NIMES,MONTPELLIER,PU,,,89,,,91
LYCEE GEORGES POMPIDOU (GENERAL ET TECHNO.),2018,CASTELNAU LE LEZ,MONTPELLIER,PU,98,99,98,94,96,95
LYCEE SAINT-GUILHEM,2018,CLERMONT L HERAULT,MONTPELLIER,PR,,100,100,,95,94
LYCEE SACRE-COEUR,2018,ST CHELY D APCHER,MONTPELLIER,PR,,83,,,90,
LYCEE FRANCOIS RABELAIS (GENERAL ET TECHNO.),2012,CHINON CEDEX,ORLEANS-TOURS,PU,96,88,94,94,90,94
LYCEE JEAN LURCAT (GENERAL ET TECHNO.),2018,PERPIGNAN,MONTPELLIER,PU,89,88,82,90,85,85
LYCEE ALFRED MEZIERES (GENERAL ET TECHNO.),2018,LONGWY,NANCY-METZ,PU,84,83,84,94,89,91
LYCEE SAINT LOUIS,2018,BAR LE DUC,NANCY-METZ,PR,88,100,84,,96,94
LYCEE CLAUDE GELLEE,2018,EPINAL,NANCY-METZ,PU,95,97,95,94,94,96
LYCEE AUGUSTE ET JEAN RENOIR,2018,ANGERS,NANTES,PU,98,94,91,97,95,96
LYCEE NOTRE DAME,2018,CHEMILLE EN ANJOU,NANTES,PR,100,100,97,97,,96
LYCEE ST JOSEPH,2018,MAUGES SUR LOIRE,NANTES,PR,89,98,97,94,95,94
LYCEE KERRAOUL (GENERAL ET TECHNO.),2012,PAIMPOL CEDEX,RENNES,PU,91,85,91,92,86,91
LYCEE SACRE COEUR,2012,ST BRIEUC CEDEX,RENNES,PR,,,100,,,90
LYCEE KERICHEN,2012,BREST CEDEX,RENNES,PU,93,,96,95,,92
LYCEE AUGUSTE BRIZEUX,2012,QUIMPER CEDEX,RENNES,PU,96,99,99,94,96,97
LYCEE JOSEPH LOTH,2012,PONTIVY CEDEX,RENNES,PU,90,100,98,95,94,93
LYCEE LES EUCALYPTUS,2018,NICE,NICE,PU,,,93,,,95
LYCEE MODESTE LEROY,2012,EVREUX CEDEX,ROUEN,PU,,85,93,,84,89
LYCEE DE LA MONTAGNE (GENERAL ET TECHNO.),2018,VALDEBLORE,NICE,PU,79,100,90,92,94,92
LYCEE ALFRED KASTLER,2012,GUEBWILLER CEDEX,STRASBOURG,PU,96,97,95,92,93,93
LYCEE GRANDMONT,2018,TOURS,ORLEANS-TOURS,PU,95,93,95,96,95,97
LYCEE LAMARTINE,2018,PARIS 09,PARIS,PU,96,93,84,93,92,86
LYCEE EDGAR POE,2018,PARIS 10,PARIS,PR,100,97,100,97,98,97
LYCEE ROCROY SAINT-VINCENT DE PAUL,2018,PARIS 10,PARIS,PR,100,100,100,99,99,97
LYCEE ANDRE HONNORAT (GENERAL ET TECHNO.),2014,BARCELONNETTE,AIX-MARSEILLE,PU,82,65,94,83,81,96
LYCEE E. NAPOLEON ST PIERRE FOURIER,2018,PARIS 12,PARIS,PR,100,100,98,96,96,94
LYCEE STE TRINITE,2014,MARSEILLE 09,AIX-MARSEILLE,PR,100,90,93,,93,97
LYCEE LA TOUR,2018,PARIS 16,PARIS,PR,100,100,100,,99,99
ECOLE  INTERNATIONAL BILINGUE,2018,PARIS 17,PARIS,PR,100,100,100,98,98,98
LYCEE EMILE ROUX (GENERAL ET TECHNO.),2018,CONFOLENS,POITIERS,PU,100,84,93,92,91,90
LYCEE FENELON NOTRE-DAME (GENERAL ET TECHNO.),2018,LA ROCHELLE,POITIERS,PR,96,95,99,95,96,98
LYCEE FRANCOIS BAZIN (GENERAL ET TECHNO.),2018,CHARLEVILLE MEZIERES,REIMS,PU,,71,78,,84,92
LYCEE LE SACRE COEUR,2012,DIGNE LES BAINS,AIX-MARSEILLE,PR,100,100,100,83,83,74
LYCEE J.DE LATTRE DE TASSIGNY,2017,LA ROCHE SUR YON,NANTES,PU,87,86,98,94,94,95
LYCEE JACQUES AUDIBERTI,2017,ANTIBES,NICE,PU,92,96,78,89,86,86
LYCEE PIERRE ET MARIE CURIE,2017,MENTON,NICE,PU,96,76,76,90,87,88
LYCEE BLAISE PASCAL (GENERAL ET TECHNO.),2017,CHATEAUROUX,ORLEANS-TOURS,PU,,,95,,,90
LYCEE SAINT-SULPICE,2017,PARIS 06,PARIS,PR,98,98,93,92,90,93
LYCEE CONDORCET,2017,PARIS 09,PARIS,PU,100,100,100,99,97,99
LYCEE SAINT-MICHEL DES BATIGNOLLES,2017,PARIS 17,PARIS,PR,96,98,100,96,95,96
LYCEE ALIENOR D AQUITAINE,2017,POITIERS,POITIERS,PU,93,90,89,93,89,92
LYCEE JEAN MOULIN (GENERAL ET TECHNO.),2017,REVIN,REIMS,PU,71,81,75,79,74,81
LYCEE SACRE COEUR,2017,ST BRIEUC,RENNES,PR,,,81,,,93
LYCEE PAUL SERUSIER (GENERAL ET TECHNO.),2017,CARHAIX PLOUGUER,RENNES,PU,100,93,97,,91,96
LYCEE DU LEON,2017,LANDIVISIAU,RENNES,PU,100,92,93,93,93,95
LYCEE FREDERIC OZANAM (GENERAL ET TECHNO.),2017,CESSON SEVIGNE,RENNES,PR,100,50,100,,,97
LYCEE FRANCOIS RENE DE CHATEAUBRIAND,2017,COMBOURG,RENNES,PU,82,89,98,92,91,95
LYCEE BEAUMONT,2017,REDON,RENNES,PU,96,93,99,95,93,92
LYCEE DES ROCHES,2017,VERNEUIL SUR AVRE,ROUEN,PR,100,100,90,,98,92
LYCEE STANISLAS (GENERAL ET TECHNO.),2017,WISSEMBOURG,STRASBOURG,PU,96,96,98,96,93,96
LYCEE ALBERT SCHWEITZER,2017,MULHOUSE,STRASBOURG,PU,85,93,91,89,86,91
LYCEE PARDAILHAN,2017,AUCH,TOULOUSE,PU,87,86,90,94,93,93
LYCEE MARECHAL LANNES (GENERAL ET TECHNO.),2017,LECTOURE,TOULOUSE,PU,79,79,90,95,92,94
LYCEE EDMOND ROSTAND,2017,BAGNERES DE LUCHON,TOULOUSE,PU,100,100,100,,81,94
LYCEE PIERRE DE FERMAT,2017,TOULOUSE,TOULOUSE,PU,96,96,98,97,96,98
LYCEE SAINTE-MARIE DE NEVERS,2017,TOULOUSE,TOULOUSE,PR,100,85,90,94,94,92
LYCEE VALLEE DE CHEVREUSE,2017,GIF SUR YVETTE,VERSAILLES,PU,97,84,93,96,94,98
LYCEE RAMBAM,2017,BOULOGNE BILLANCOURT,VERSAILLES,PR,,95,100,,89,94
LYCEE MARIE CURIE,2017,SCEAUX,VERSAILLES,PU,94,98,97,97,94,98
LYCEE OZAR HATORAH,2017,SARCELLES,VERSAILLES,PR,,90,91,,65,78
LYCEE MAURICE GENEVOIX,2018,MARIGNANE,AIX-MARSEILLE,PU,100,92,90,85,88,89
LYCEE L'OLIVIER - ROBERT COFFY,2018,MARSEILLE 12,AIX-MARSEILLE,PR,100,100,100,97,94,96
LYCEE REGIONAL NELSON MANDELA (GENERAL ET TECHNO.),2018,MARSEILLE 12,AIX-MARSEILLE,PU,82,88,86,84,87,87
LYCEE RENÉ CHAR (GENERAL ET TECHNO.),2018,AVIGNON,AIX-MARSEILLE,PU,89,85,94,91,92,94
LYCEE ST JOSEPH DE CLUNY,2018,FORT DE FRANCE,MARTINIQUE,PR,100,100,100,97,97,98
LYCEE ROBERT SCHUMAN,2018,METZ,NANCY-METZ,PU,83,84,67,87,83,87
LYCEE MANGIN (GENERAL ET TECHNO.),2018,SARREBOURG,NANCY-METZ,PU,85,85,91,95,93,94
LYCEE JEAN-VICTOR PONCELET (GENERAL ET TECHNO.),2018,ST AVOLD,NANCY-METZ,PU,90,86,91,92,89,92
LYCEE SAINT-MARTIN,2018,NORT SUR ERDRE,NANTES,PR,100,100,90,97,96,95
LYCEE JACQUES PREVERT,2018,SAVENAY,NANTES,PU,97,96,89,97,96,97
LYCEE ST JOSEPH LA JOLIVERIE (GENERAL ET TECHNO.),2018,ST SEBASTIEN SUR LOIRE CED,NANTES,PR,,,100,,,97
LYCEE STE ANNE (GENERAL ET TECHNO.),2018,SABLE SUR SARTHE,NANTES,PR,100,94,96,,90,95
LYCEE AUGUSTIN THIERRY (GENERAL ET TECHNO.),2018,BLOIS,ORLEANS-TOURS,PU,74,86,91,88,89,93
LYCEE SEVIGNE,2018,PARIS 05,PARIS,PR,100,100,100,98,98,98
LYCEE GEORGES LEVEN,2018,PARIS 12,PARIS,PR,100,100,100,,92,94
LYCEE JANSON DE SAILLY,2018,PARIS 16,PARIS,PU,94,100,98,94,97,97
LYCEE SINAI,2018,PARIS 18,PARIS,PR,,100,100,,90,94
LYCEE DE LA MER ET DU LITTORAL,2018,BOURCEFRANC LE CHAPUS,POITIERS,PU,87,97,90,95,94,93
CITE SCOLAIRE JEAN MOULIN,2018,THOUARS,POITIERS,PU,100,97,95,94,94,94
LYCEE CAMILLE CLAUDEL,2018,TROYES,REIMS,PU,94,97,88,93,91,92
LYCEE FREDERIC OZANAM,2018,CHALONS EN CHAMPAGNE,REIMS,PR,100,97,98,98,94,96
LYCEE ST JOSEPH,2018,BRUZ,RENNES,PR,89,99,99,,96,96
INSTITUTION ST MALO-PROVIDENCE,2018,ST MALO,RENNES,PR,100,94,98,97,96,98
LYCEE JACQUES CARTIER (GENERAL ET TECHNO.),2018,ST MALO,RENNES,PU,89,95,91,95,97,96
LYCEE MAUPERTUIS,2018,ST MALO,RENNES,PU,,,89,,,94
LYCEE STE ANNE-ST LOUIS (GENERAL ET TECHNO.),2018,STE ANNE D AURAY,RENNES,PR,94,99,100,98,97,97
LYCEE NOTRE DAME LE MENIMUR,2018,VANNES,RENNES,PR,,96,,,93,
LYCEE AUGUSTIN FRESNEL,2018,BERNAY,ROUEN,PU,96,95,95,96,93,96
LYCEE DES ROCHES,2018,VERNEUIL SUR AVRE,ROUEN,PR,100,80,92,,80,
LYCEE GEORGES BRASSENS (GENERAL ET TECHNO.),2018,NEUFCHATEL EN BRAY,ROUEN,PU,90,89,96,94,91,89
LYCEE ADRIEN ZELLER,2018,BOUXWILLER,STRASBOURG,PU,88,98,96,96,95,96
LYCEE FREPPEL,2018,OBERNAI,STRASBOURG,PU,94,96,99,97,96,97
LYCEE JEAN-BAPTISTE SCHWILGUE (GENERAL ET TECHNO.),2018,SELESTAT,STRASBOURG,PU,,,85,,,94
LYCEE JEAN MERMOZ (GENERAL ET TECHNO.),2018,ST LOUIS,STRASBOURG,PU,94,94,98,94,94,95
LYCEE LOUISE WEISS (GENERAL ET TECHNO.),2018,STE MARIE AUX MINES,STRASBOURG,PU,100,91,86,,87,83
LYCEE LOUIS QUERBES,2018,RODEZ,TOULOUSE,PR,,,100,,,96
LYCEE L' ANNONCIATION,2018,SEILH,TOULOUSE,PR,100,100,100,,95,96
LYCEE JEAN-FRANCOIS CHAMPOLLION,2018,FIGEAC,TOULOUSE,PU,84,82,88,96,92,95
LYCEE SAINT ALYRE,2017,CLERMONT FERRAND,CLERMONT-FERRAND,PR,89,100,100,95,95,96
LYCEE DU FIUM'ORBU (GENERAL ET TECHNO.),2017,PRUNELLI DI FIUMORBO,CORSE,PU,100,95,95,81,86,88
LYCEE JEAN VILAR,2017,MEAUX,CRETEIL,PU,81,77,81,88,83,83
LYCEE VOILLAUME,2017,AULNAY SOUS BOIS,CRETEIL,PU,74,71,80,79,72,69
LYCEE CHARLES PEGUY,2017,BOBIGNY,CRETEIL,PR,100,100,100,98,97,97
LYCEE FRANCOISE CABRINI,2017,NOISY LE GRAND,CRETEIL,PR,100,98,99,96,97,96
LYCEE LEONARD DE VINCI (GENERAL ET TECHNO.),2017,TREMBLAY EN FRANCE,CRETEIL,PU,86,81,78,89,78,79
LYCEE ROBERT SCHUMAN (GENERAL ET TECHNO.),2017,CHARENTON LE PONT,CRETEIL,PU,89,92,79,91,85,90
LYCEE NOTRE DAME,2017,VALENCE,GRENOBLE,PR,100,93,95,92,93,91
LYCEE JEANNE D'ARC,2017,LE PEAGE DE ROUSSILLON,GRENOBLE,PR,92,74,89,93,83,95
LYCEE CHARLES GABRIEL PRAVAZ (GENERAL ET TECHNO.),2017,LE PONT DE BEAUVOISIN,GRENOBLE,PU,83,90,94,88,91,93
LYCEE ET SPORTIF JEAN PREVOST,2017,VILLARD DE LANS,GRENOBLE,PU,100,97,89,,91,93
LYCEE MELKIOR GARRE (GENERAL ET TECHNO.),2017,CAYENNE,GUYANE,PU,91,81,88,90,80,85
LYCEE ANTOINE DE SAINT-EXUPERY (GENERAL ET TECHNO.),2017,LES AVIRONS,LA REUNION,PU,90,93,95,95,94,95
LYCEE BELLEPIERRE,2017,ST DENIS,LA REUNION,PU,100,91,95,94,89,93
LYCEE LISLET GEOFFROY,2017,STE CLOTILDE,LA REUNION,PU,90,91,94,91,88,90
LYCEE SAINTE CLAIRE,2017,LILLE,LILLE,PR,100,89,87,94,89,94
LYCEE THERESE D'AVILA,2017,LILLE,LILLE,PR,100,100,100,99,98,99
LYCEE EUGENE WOILLEZ (GENERAL ET TECHNO.),2017,MONTREUIL,LILLE,PU,93,89,95,96,94,94
LYCEE ALBERT CHATELET,2017,ST POL SUR TERNOISE,LILLE,PU,92,93,93,96,94,93
LYCEE EDGAR QUINET,2017,BOURG EN BRESSE,LYON,PU,96,87,96,94,93,93
LYCEE SAINT JOSEPH,2017,MIRIBEL,LYON,PR,,89,94,,,93
LYCEE JEAN PUY,2017,ROANNE,LYON,PU,97,95,97,93,93,92
LYCEE SAINT PAUL,2017,ROANNE,LYON,PR,100,96,96,,91,96
LYCEE JEAN MONNET,2017,ST ETIENNE,LYON,PU,84,68,94,90,81,92
LYCEE PIERRE TERMIER,2017,LYON 08,LYON,PR,92,97,98,92,95,97
LYCEE MONTGERALD,2017,LE MARIN,MARTINIQUE,PU,96,73,93,80,69,77
LYCEE BEAUSEJOUR,2017,NARBONNE,MONTPELLIER,PR,95,97,100,93,95,97
LYCEE FRANCOIS ARAGO,2017,PERPIGNAN,MONTPELLIER,PU,97,85,90,92,89,93
LYCEE HENRI POINCARE,2017,NANCY,NANCY-METZ,PU,92,90,96,97,92,96
LYCEE LA HAIE GRISELLE,2017,GERARDMER,NANCY-METZ,PU,92,92,99,92,94,98
LYCEE ST JOSEPH,2017,CHATEAUBRIANT,NANTES,PR,100,100,100,98,97,97
LYCEE CLEMENCEAU,2017,NANTES,NANTES,PU,83,84,98,96,98,98
LYCEE ST STANISLAS,2017,NANTES,NANTES,PR,91,93,97,97,96,96
LYCEE ARISTIDE BRIAND,2017,ST NAZAIRE,NANTES,PU,93,83,94,95,93,95
LYCEE D'ESTOURNELLES DE CONSTANT (GENERAL ET TECHNO.),2017,LA FLECHE,NANTES,PU,95,89,94,98,96,97
LYCEE LEONARD DE VINCI (GENERAL ET TECHNO.),2016,SOISSONS,AMIENS,PU,,76,81,,84,82
LYCEE SAINT DOMINIQUE,2016,MORTEFONTAINE,AMIENS,PR,,100,100,,99,99
LYCEE MARIE CURIE,2016,NOGENT SUR OISE,AMIENS,PU,,,92,,,93
LYCEE HUGUES CAPET,2016,SENLIS,AMIENS,PU,92,88,96,93,95,97
LYCEE JEANNE D'ARC,2016,CAEN,CAEN,PR,100,100,99,98,97,97
COURS NOTRE-DAME,2016,DOUVRES LA DELIVRANDE,CAEN,PR,86,90,86,,91,89
LYCEE ALBERT SOREL (GENERAL ET TECHNO.),2016,HONFLEUR,CAEN,PU,96,97,100,92,92,94
LYCEE LE VERRIER,2016,ST LO,CAEN,PU,98,97,94,96,97,97
LYCEE FRANCOIS 1ER,2016,LE HAVRE,ROUEN,PU,96,80,94,93,91,94
LYCEE PORTE OCEANE (GENERAL ET TECHNO.),2016,LE HAVRE,ROUEN,PU,86,53,62,81,83,71
LYCEE JEAN XXIII,2016,QUINTIN,RENNES,PR,100,100,98,,97,96
LYCEE YVES THEPOT (GENERAL ET TECHNO.),2016,QUIMPER,RENNES,PU,,,80,,,93
LYCEE BEAUMONT,2016,REDON,RENNES,PU,90,88,97,93,95,93
LYCEE JEAN MACE (GENERAL ET TECHNO.),2016,LANESTER,RENNES,PU,100,90,98,95,90,91
LYCEE ALAIN RENE LESAGE,2016,VANNES,RENNES,PU,91,92,91,96,95,95
LYCEE LA COLINIERE,2016,NANTES,NANTES,PU,89,87,91,94,96,94
LYCEE SACRE COEUR,2016,NANTES,NANTES,PR,,100,87,,,81
LYCEE ST DOMINIQUE,2016,ST HERBLAIN,NANTES,PR,100,100,99,97,98,99
LYCEE CHEVROLLIER (GENERAL ET TECHNO.),2016,ANGERS,NANTES,PU,100,94,93,97,97,96
LYCEE SAINTE MARIE,2016,CHOLET,NANTES,PR,97,95,95,98,98,96
LYCEE SADI CARNOT - JEAN BERTIN (GENERAL ET TECHNO.),2016,SAUMUR,NANTES,PU,,,100,,,90
LYCEE SAINT AUBIN LA SALLE (GENERAL ET TECHNO.),2016,ST SYLVAIN D ANJOU,NANTES,PR,90,90,91,95,95,94
LYCEE VICTOR HUGO,2016,CHATEAU GONTIER,NANTES,PU,100,95,100,96,97,97
LYCEE ST GENES LA SALLE,2016,BORDEAUX,BORDEAUX,PR,100,100,99,98,98,99
LYCEE STE FAMILLE SAINTONGE,2016,BORDEAUX,BORDEAUX,PR,,,100,,,90
LYCEE DES GRAVES,2016,GRADIGNAN,BORDEAUX,PU,98,94,95,95,96,97
LYCEE STENDHAL,2016,AIGUILLON,BORDEAUX,PU,86,97,91,89,94,89
LYCEE LOUIS BARTHOU,2016,PAU,BORDEAUX,PU,92,95,96,95,97,97
LYCEE JEAN DAUTET,2016,LA ROCHELLE,POITIERS,PU,99,96,98,96,97,97
LYCEE LOUISE MICHEL (GENERAL ET TECHNO.),2016,NARBONNE,MONTPELLIER,PU,,81,95,,91,93
LYCEE ARISTIDE MAILLOL (GENERAL ET TECHNO.),2016,PERPIGNAN,MONTPELLIER,PU,88,90,89,88,86,91
LYCEE SAINT-LOUIS-DE-GONZAGUE,2016,PERPIGNAN,MONTPELLIER,PR,100,98,100,98,97,98
LYCEE DU COUSERANS,2016,ST GIRONS,TOULOUSE,PU,92,95,89,89,87,88
LYCEE SAINTE-MARIE DE NEVERS,2016,TOULOUSE,TOULOUSE,PR,94,93,94,96,96,92
LYCEE VICTOR DURUY (GENERAL ET TECHNO.),2016,BAGNERES DE BIGORRE,TOULOUSE,PU,89,79,96,90,89,92
LYCEE THEOPHILE GAUTIER,2016,TARBES,TOULOUSE,PU,93,87,97,96,93,96
LYCEE VICTOR HUGO,2016,GAILLAC,TOULOUSE,PU,94,88,88,92,93,93
LYCEE AMBROISE BRUGIERE,2016,CLERMONT FERRAND,CLERMONT-FERRAND,PU,94,92,86,94,84,83
LYCEE MARMOUTIER,2016,TOURS,ORLEANS-TOURS,PR,88,84,96,,95,93
CLOS MAIRE (GENERAL ET TECHNO.),2018,BEAUNE,DIJON,PU,88,92,93,94,92,95
LYCEE NOTRE DAME,2018,DIJON,DIJON,PR,100,100,97,97,96,97
LYCEE VINCENT D 'INDY (GENERAL ET TECHNO.),2018,PRIVAS,GRENOBLE,PU,91,90,89,96,93,94
LYCEE LES TROIS SOURCES,2018,BOURG LES VALENCE,GRENOBLE,PU,84,91,90,90,94,91
LYCEE EMILE LOUBET,2018,VALENCE,GRENOBLE,PU,98,88,94,93,95,97
