Etablissement,Année,Ville,Académie,Secteur Public/Prive,Taux Brut de Réussite série L,Taux Brut de Réussite série ES,Taux Brut de Réussite série S,Taux Réussite Attendu France série L,Taux Réussite Attendu France série ES,Taux Réussite Attendu France série S
LYCEE LOUIS PERGAUD,2018,BESANCON,BESANCON,PU,94,90,96,94,94,96
LYCEE LES AUGUSTINS,2018,PONTARLIER,BESANCON,PR,100,100,98,94,97,97
LYCEE JEAN MICHEL,2018,LONS LE SAUNIER,BESANCON,PU,86,89,91,94,93,96
LYCEE NOTRE DAME LA COMPASSION,2018,MARMANDE,BORDEAUX,PR,86,89,95,91,,93
LYCEE LARGENTE,2018,BAYONNE,BORDEAUX,PR,,100,100,,97,96
LYCEE GASTON FEBUS,2018,ORTHEZ,BORDEAUX,PU,98,94,89,94,94,95
LYCEE ST DOMINIQUE,2018,PAU,BORDEAUX,PR,,100,100,,98,98
LYCEE ALAIN CHARTIER,2018,BAYEUX,CAEN,PU,78,,90,95,,95
LYCEE JEAN MONNET (GENERAL ET TECHNO.),2018,MORTAGNE AU PERCHE,CAEN,PU,93,96,89,95,98,95
LYCEE SAINTE-LOUISE,2018,MONTLUCON,CLERMONT-FERRAND,PR,100,56,78,,,
LYCEE SAINTE THECLE,2018,CHAMALIERES,CLERMONT-FERRAND,PR,100,97,98,93,94,95
LYCEE CAMPUS SAINTE THERESE,2018,OZOIR LA FERRIERE,CRETEIL,PR,100,100,100,98,98,98
LYCEE SAINTE CROIX,2018,PROVINS,CRETEIL,PR,100,96,98,95,91,92
LYCEE GUSTAVE EIFFEL,2018,GAGNY,CRETEIL,PU,74,66,73,82,74,77
LYCEE ANDRE BOULLOCHE,2018,LIVRY GARGAN,CRETEIL,PU,92,94,89,94,92,91
LYCEE MARX DORMOY (GENERAL ET TECHNO.),2018,CHAMPIGNY SUR MARNE,CRETEIL,PU,92,94,62,85,87,77
LYCEE EUGENE DELACROIX,2018,MAISONS ALFORT,CRETEIL,PU,91,89,94,92,94,95
LYCEE MAHATMA GANDHI,2016,ST ANDRE,LA REUNION,PU,93,92,92,91,88,88
LYCEE DE VINCENDO (GENERAL ET TECHNO.),2016,ST JOSEPH,LA REUNION,PU,83,92,96,94,81,92
LYCEE JOSEPH GAILLARD,2016,FORT DE FRANCE,MARTINIQUE,PU,,77,87,,85,71
LYCEE JOSEPH PERNOCK (GENERAL ET TECHNO.),2016,LE LORRAIN,MARTINIQUE,PU,,,97,,,76
LYCEE FAUSTIN FLERET,2016,MORNE A L EAU,GUADELOUPE,PU,92,89,98,91,91,90
LYCEE TANI MALANDI (GENERAL ET TECHNO.),2016,CHIRONGUI,MAYOTTE,PU,89,70,74,,,
LYCEE GERARD DE NERVAL,2017,SOISSONS,AMIENS,PU,86,93,95,95,90,94
